Id,FirstName,LastName,Email,Discount
1, Delores, Brown, Delores_Brown43@yahoo.com, 0.4
2, Tyree, Bradtke, Tyree24@yahoo.com, 0.4
3, Yesenia, Parker, Yesenia61@yahoo.com, 0.6
4, Maybelle, Wiegand, Maybelle38@gmail.com, 0.7
5, Ceasar, Schimmel, Ceasar_Schimmel55@gmail.com, 0.7
6, Maximillian, Ankunding, Maximillian_Ankunding6@hotmail.com, 0.5
7, Judy, Goodwin, Judy.Goodwin43@hotmail.com, 0.6
8, Marianna, Kozey, Marianna_Kozey@gmail.com, 0.3
9, Fabiola, Pouros, Fabiola94@yahoo.com, 0.2
10, Waylon, Kuhlman, Waylon12@yahoo.com, 0.3
11, Asa, Hahn, Asa99@yahoo.com, 0.8
12, Petra, Ernser, Petra42@gmail.com, 0.8
13, Greyson, Ryan, Greyson49@hotmail.com, 0.4
14, Angie, Kovacek, Angie.Kovacek@yahoo.com, 0.2
15, Liana, Smith, Liana.Smith2@hotmail.com, 0.8
16, Danial, Swaniawski, Danial12@yahoo.com, 0.2
17, Gabriel, Krajcik, Gabriel.Krajcik@yahoo.com, 0.2
18, Catharine, Gislason, Catharine.Gislason13@yahoo.com, 0.7
19, Zella, Hamill, Zella_Hamill@hotmail.com, 0.6
20, Trudie, Lindgren, Trudie1@hotmail.com, 0.2
21, Brenden, Blanda, Brenden8@gmail.com, 0.8
22, Jared, Shanahan, Jared84@hotmail.com, 0.6
23, Tanner, Becker, Tanner74@gmail.com, 0.3
24, Aron, Parker, Aron3@yahoo.com, 0.5
25, Deangelo, Ernser, Deangelo.Ernser@yahoo.com, 0.6
26, Marjolaine, Haley, Marjolaine.Haley@yahoo.com, 0.8
27, Seamus, Beier, Seamus_Beier31@yahoo.com, 0.7
28, Seamus, Kozey, Seamus_Kozey38@gmail.com, 0.7
29, Petra, Lang, Petra.Lang@gmail.com, 0.8
30, Alvah, Reilly, Alvah.Reilly87@hotmail.com, 0.6
31, Halie, Kessler, Halie.Kessler@yahoo.com, 0.8
32, Ephraim, Hansen, Ephraim.Hansen97@hotmail.com, 0.4
33, Geovanni, Crist, Geovanni.Crist82@gmail.com, 0.3
34, Ila, Schamberger, Ila1@gmail.com, 0.3
35, Earl, Wiegand, Earl49@gmail.com, 0.5
36, Ricardo, Orn, Ricardo_Orn@yahoo.com, 0.8
37, Francesca, Waelchi, Francesca.Waelchi@gmail.com, 0.6
38, Reid, Herzog, Reid_Herzog@gmail.com, 0.6
39, Adele, Hoeger, Adele.Hoeger@yahoo.com, 0.6
40, Diego, Gulgowski, Diego59@yahoo.com, 0.4
41, Charlotte, McGlynn, Charlotte.McGlynn65@gmail.com, 0.8
42, Miller, Crist, Miller90@gmail.com, 0.3
43, Alexa, Pagac, Alexa_Pagac@yahoo.com, 0.2
44, Ofelia, Beier, Ofelia11@yahoo.com, 0.2
45, Charley, Kohler, Charley64@hotmail.com, 0.6
46, Brent, Hand, Brent52@hotmail.com, 0.4
47, Ashleigh, Durgan, Ashleigh.Durgan@yahoo.com, 0.5
48, Abdullah, Gerlach, Abdullah.Gerlach@yahoo.com, 0.8
49, Ora, Thompson, Ora82@hotmail.com, 0.4
50, Madie, Kuphal, Madie_Kuphal19@gmail.com, 0.2
51, Kasandra, Langworth, Kasandra_Langworth48@yahoo.com, 0.7
52, Candido, Cole, Candido_Cole@gmail.com, 0.3
53, Silas, Beatty, Silas.Beatty68@gmail.com, 0.4
54, Shaniya, Hyatt, Shaniya_Hyatt49@hotmail.com, 0.4
55, Kody, Balistreri, Kody.Balistreri@gmail.com, 0.3
56, Jaeden, Mueller, Jaeden.Mueller@hotmail.com, 0.2
57, Abraham, Hodkiewicz, Abraham_Hodkiewicz@hotmail.com, 0.3
58, Jailyn, Nader, Jailyn.Nader@yahoo.com, 0.4
59, Dashawn, Graham, Dashawn15@hotmail.com, 0.7
60, Jamarcus, Zieme, Jamarcus21@gmail.com, 0.2
